8.51	0.51	-0.03	1.46	-0.13
8.55	0.51	-0.10	1.46	-0.08
8.59	0.50	-0.18	1.46	-0.03
8.63	0.49	-0.24	1.46	0.02
8.67	0.48	-0.27	1.46	0.05
8.71	0.47	-0.29	1.46	0.07
8.76	0.46	-0.27	1.46	0.07
8.80	0.45	-0.23	1.47	0.06
8.84	0.44	-0.18	1.47	0.04
8.88	0.44	-0.10	1.47	0.01
8.92	0.43	-0.03	1.47	-0.03
8.96	0.43	0.05	1.47	-0.07
9.00	0.44	0.12	1.46	-0.10
9.04	0.44	0.16	1.46	-0.12
9.08	0.45	0.19	1.45	-0.13
9.12	0.46	0.19	1.45	-0.12
9.16	0.47	0.18	1.44	-0.10
9.20	0.47	0.14	1.44	-0.07
9.24	0.48	0.09	1.44	-0.04
9.28	0.48	0.03	1.44	0.01
9.32	0.48	-0.03	1.44	0.05
9.36	0.48	-0.08	1.44	0.09
9.40	0.47	-0.12	1.45	0.12
9.44	0.47	-0.14	1.45	0.14
9.48	0.46	-0.14	1.46	0.15
9.52	0.46	-0.12	1.46	0.15
9.56	0.45	-0.08	1.47	0.13
9.60	0.45	-0.03	1.47	0.11
9.64	0.45	0.03	1.48	0.08
9.68	0.45	0.09	1.48	0.05
9.72	0.46	0.14	1.48	0.02
9.76	0.46	0.18	1.48	-0.00
9.80	0.47	0.21	1.48	-0.02
9.84	0.48	0.22	1.48	-0.03
9.88	0.49	0.21	1.48	-0.02
9.92	0.50	0.19	1.48	-0.00
9.96	0.50	0.15	1.48	0.02
10.00	0.51	0.10	1.48	0.05
